format,paper,side_type,base_price,price_per_unit
A4,255g,Mappe,0,9.36
A4,255g,Mappe,0,11.12
A4,255g,Mappe,0,6.38
A4,255g,Mappe,0,5.38
A4,255g,Mappe,0,4.89
A4,255g,Mappe,0,4.59
A4,255g,Mappe,0,4.39
A4,255g,Mappe,0,4.25
A4,255g,Mappe,0,4.14
A4,255g,Mappe,0,4.06
A4,255g,Mappe,0,3.99
A4,255g,Mappe,0,3.91
A4,255g,Mappe,0,3.39
A4,255g,Mappe,0,3.71
A4,255g,Mappe,0,3.71
A4,255g,Mappe,0,3.39
A4,255g,Mappe,0,3.11
A4,255g,Mappe,0,2.89
A4,255g,Mappe,0,2.71
A4,255g,Mappe,0,3.42
A4,255g,Mappe,0,3.09
A4,255g,Mappe,0,2.85
A4,255g,Mappe,0,2.66
A4,255g,Mappe,0,2.51
A4,255g,Mappe,0,2.94
A4,255g,Mappe,0,2.64
A4,255g,Mappe,0,2.42
A4,255g,Mappe,0,2.25
A4,255g,Mappe,0,2.11
A4,255g,Mappe,0,2.27
A4,255g,Mappe,0,2.05
A4,255g,Mappe,0,2.18
A4,255g,Mappe,0,2.03
A4,255g,Mappe,0,2.13
A4,255g,Mappe,0,2.02
A4,255g,Mappe,0,2.82
A4,255g,Mappe,0,2.67
A4,255g,Mappe,0,2.54
A4,255g,Mappe,0,2.43
A4,255g,Mappe,0,2.33
A4,255g,Mappe,0,2.25
A4,255g,Mappe,0,2.18
A4,255g,Mappe,0,2.11
A4,255g,Mappe,0,2.05
A4,255g,Mappe,0,2.00
