format,paper,pages,base_price,price_per_unit
A5,115g Silk,8,200,2.95
A5,115g Silk,12,250,3.45
A5,115g Silk,16,300,3.95
A5,115g Silk,20,350,4.45
A5,115g Silk,24,400,4.95
A5,115g Silk,28,450,5.45
A5,115g Silk,32,500,5.95
A5,115g Silk,40,600,6.95
A5,115g Silk,48,700,7.95
A5,115g Silk,60,850,9.45
A5,115g Silk,80,1050,11.45
A4,115g Silk,8,300,3.95
A4,115g Silk,12,375,4.75
A4,115g Silk,16,450,5.45
A4,115g Silk,20,525,6.25
A4,115g Silk,24,600,6.95
A4,115g Silk,28,675,7.75
A4,115g Silk,32,750,8.45
A4,115g Silk,40,900,9.95
A4,115g Silk,48,1050,11.45
A4,115g Silk,60,1300,13.95
A4,115g Silk,80,1650,17.45
M65,115g Silk,8,150,2.45
M65,115g Silk,12,190,2.95
M65,115g Silk,16,230,3.45
M65,115g Silk,20,270,3.95
M65,115g Silk,24,310,4.45
M65,115g Silk,28,350,4.95
M65,115g Silk,32,390,5.45
M65,115g Silk,40,470,6.45
M65,115g Silk,48,550,7.45
M65,115g Silk,60,680,8.95
M65,115g Silk,80,860,10.95
