format,paper,quantity,price_dkk
A3,135g Silk,10,295
A3,135g Silk,25,495
A3,135g Silk,50,695
A3,135g Silk,100,995
A3,135g Silk,250,1795
A3,135g Silk,500,2995
A3,135g Silk,1000,4995
A3,170g Silk,10,345
A3,170g Silk,25,575
A3,170g Silk,50,795
A3,170g Silk,100,1195
A3,170g Silk,250,2095
A3,170g Silk,500,3495
A3,170g Silk,1000,5795
A2,135g Silk,10,395
A2,135g Silk,25,695
A2,135g Silk,50,995
A2,135g Silk,100,1495
A2,135g Silk,250,2695
A2,135g Silk,500,4495
A2,135g Silk,1000,7495
A2,170g Silk,10,475
A2,170g Silk,25,825
A2,170g Silk,50,1195
A2,170g Silk,100,1795
A2,170g Silk,250,3195
A2,170g Silk,500,5295
A2,170g Silk,1000,8795
A1,135g Silk,10,595
A1,135g Silk,25,995
A1,135g Silk,50,1495
A1,135g Silk,100,2295
A1,135g Silk,250,4095
A1,135g Silk,500,6795
A1,135g Silk,1000,11295
A1,170g Silk,10,695
A1,170g Silk,25,1195
A1,170g Silk,50,1795
A1,170g Silk,100,2695
A1,170g Silk,250,4795
A1,170g Silk,500,7995
A1,170g Silk,1000,13295
A0,135g Silk,10,895
A0,135g Silk,25,1495
A0,135g Silk,50,2295
A0,135g Silk,100,3495
A0,135g Silk,250,6295
A0,135g Silk,500,10495
A0,135g Silk,1000,17495
A0,170g Silk,10,1045
A0,170g Silk,25,1795
A0,170g Silk,50,2695
A0,170g Silk,100,4095
A0,170g Silk,250,7395
A0,170g Silk,500,12295
A0,170g Silk,1000,20495
B1,135g Silk,10,795
B1,135g Silk,25,1395
B1,135g Silk,50,2095
B1,135g Silk,100,3195
B1,135g Silk,250,5695
B1,135g Silk,500,9495
B1,135g Silk,1000,15795
B1,170g Silk,10,945
B1,170g Silk,25,1645
B1,170g Silk,50,2495
B1,170g Silk,100,3795
B1,170g Silk,250,6695
B1,170g Silk,500,11195
B1,170g Silk,1000,18595
B0,135g Silk,10,1095
B0,135g Silk,25,1895
B0,135g Silk,50,2895
B0,135g Silk,100,4395
B0,135g Silk,250,7895
B0,135g Silk,500,13195
B0,135g Silk,1000,21995
B0,170g Silk,10,1295
B0,170g Silk,25,2245
B0,170g Silk,50,3395
B0,170g Silk,100,5195
B0,170g Silk,250,9295
B0,170g Silk,500,15495
B0,170g Silk,1000,25795
